Wavelength (nm) - Plot 0,Amplitude - Plot 0,Wavelength (nm) - Plot 1,Amplitude - Plot 1
1481.465036,5.510084,,
1481.470043,5.754786,,
1481.47505,6.314577,,
1481.480057,6.794776,,
1481.485016,6.437587,,
1481.490023,5.892267,,
1481.49503,5.365038,,
1481.500037,5.979097,,
1481.505044,5.848523,,
1481.510051,5.417991,,
1481.515058,6.22084,,
1481.520017,6.399105,,
1481.525024,6.296817,,
1481.530031,5.687361,,
1481.535038,6.506328,,
1481.540045,6.646112,,
1481.545052,6.708274,,
1481.550059,5.838327,,
1481.555018,6.703012,,
1481.560025,6.63756,,
1481.565032,5.713344,,
1481.570039,6.685251,,
1481.575046,5.723869,,
1481.580053,6.44581,,
1481.58506,6.932916,,
1481.590019,6.153415,,
1481.595026,6.596118,,
1481.600033,6.004094,,
1481.60504,5.747221,,
1481.610047,6.932587,,
1481.615054,6.470806,,
1481.620061,5.98107,,
1481.62502,5.281498,,
1481.630027,6.481989,,
1481.635034,6.742809,,
1481.640041,5.657431,,
1481.645048,6.354375,,
1481.650055,6.271491,,
1481.655062,6.569477,,
1481.660021,5.487718,,
1481.665028,6.356019,,
1481.670035,5.77452,,
1481.675042,6.631311,,
1481.680049,6.545467,,
1481.685056,6.19683,,
1481.690063,6.497118,,
1481.695022,6.048824,,
1481.700029,6.480344,,
1481.705036,6.281687,,
1481.710043,6.71255,,
1481.71505,7.019089,,
1481.720057,6.253073,,
1481.725064,6.68558,,
1481.730023,6.423115,,
1481.73503,6.394172,,
1481.740037,5.96627,,
1481.745044,5.997515,,
1481.750051,6.239588,,
1481.755058,6.286621,,
1481.760065,6.900683,,
1481.765024,6.847401,,
1481.770031,6.333325,,
1481.775038,6.756623,,
1481.780045,6.106382,,
1481.785052,6.251757,,
1481.790059,6.539876,,
1481.795066,5.366683,,
1481.800025,6.165584,,
1481.805032,5.32853,,
1481.810039,6.770766,,
1481.815046,5.895885,,
1481.820053,6.536258,,
1481.82506,6.305697,,
1481.830067,6.760241,,
1481.835026,6.070532,,
1481.840033,6.55369,,
1481.84504,5.647564,,
1481.850047,6.368188,,
1481.855054,7.094079,,
1481.860061,6.492514,,
1481.865068,6.595461,,
1481.870027,6.963833,,
1481.875034,6.095528,,
1481.880041,5.970217,,
1481.885048,6.790829,,
1481.890055,6.009356,,
1481.895062,7.082567,,
1481.900069,6.579344,,
1481.905028,5.800503,,
1481.910035,5.351882,,
1481.915042,6.349441,,
1481.920049,6.307999,,
1481.925056,7.244388,,
1481.930063,6.020868,,
1481.93507,6.65269,,
1481.940029,5.37359,,
1481.945036,5.738012,,
1481.950043,5.982715,,
1481.95505,7.028298,,
1481.960057,5.844576,,
1481.965064,5.596913,,
1481.970071,6.123485,,
1481.97503,6.441863,,
1481.980037,5.998831,,
1481.985044,7.157558,,
1481.990051,6.289581,,
1481.995058,6.340232,,
1482.000065,6.282016,,
1482.005072,6.786225,,
1482.010031,6.351414,,
1482.015038,7.057899,,
1482.020045,5.563366,,
1482.025052,5.68473,,
1482.030059,6.006067,,
1482.035066,5.232163,,
1482.040073,6.497447,,
1482.045032,6.888514,,
1482.050039,6.431667,,
1482.055046,6.71551,,
1482.060053,6.455348,,
1482.06506,6.716497,,
1482.070067,6.827666,,
1482.075074,6.60763,,
1482.080033,5.454828,,
1482.08504,6.48462,,
1482.090047,6.980607,,
1482.095054,6.043562,,
1482.100061,6.981265,,
1482.105068,6.701367,,
1482.110075,6.207026,,
1482.115034,5.431147,,
1482.120041,6.404039,,
1482.125048,6.516195,,
1482.130055,5.878124,,
1482.135062,6.217551,,
1482.140069,6.157362,,
1482.145076,6.668477,,
1482.150035,6.265242,,
1482.155042,6.60171,,
1482.160049,6.031392,,
1482.165056,6.360953,,
1482.170063,5.212757,,
1482.17507,6.571451,,
1482.180077,6.248468,,
1482.185036,6.199461,,
1482.190043,5.90937,,
1482.19505,6.052442,,
1482.200057,5.950482,,
1482.205064,6.277411,,
1482.210071,6.506657,,
1482.215078,6.743467,,
1482.220037,6.906275,,
1482.225044,6.258664,,
1482.230051,6.312933,,
1482.235058,5.901476,,
1482.240065,6.017907,,
1482.245072,5.354842,,
1482.250079,5.853785,,
1482.255038,6.500407,,
1482.260045,5.814646,,
1482.265052,5.876808,,
1482.270059,6.437916,,
1482.275066,7.065135,,
1482.280073,6.198146,,
1482.28508,6.858255,,
1482.290039,6.132365,,
1482.295046,5.456144,,
1482.300053,6.261295,,
1482.30506,7.085527,,
1482.310067,6.978633,,
1482.315074,6.225774,,
1482.320081,6.915155,,
1482.32504,7.068424,,
1482.330047,6.321813,,
1482.335054,5.891609,,
1482.340061,7.125983,,
1482.345068,6.501723,,
1482.350075,5.916935,,
1482.355082,5.745248,,
1482.360041,6.642494,,
1482.365048,6.728009,,
1482.370055,6.395158,,
1482.375062,6.186634,,
1482.380069,6.807603,,
1482.385076,6.383647,,
1482.390083,6.519813,,
1482.395042,5.843589,,
1482.400049,6.117565,,
1482.405056,5.600202,,
