Wavelength (nm) - Plot 0,Amplitude - Plot 0,Wavelength (nm) - Plot 1,Amplitude - Plot 1
1484.015103,3.128528,,
1484.02011,3.521231,,
1484.025117,3.080509,,
1484.030124,3.301528,,
1484.035131,2.9131,,
1484.040138,2.769044,,
1484.045097,3.462029,,
1484.050104,3.035779,,
1484.055111,3.040383,,
1484.060118,2.812129,,
1484.065125,2.819036,,
1484.070132,2.949279,,
1484.075139,3.102874,,
1484.080098,2.736483,,
1484.085105,2.791409,,
1484.090112,3.214699,,
1484.095119,3.161417,,
1484.100126,2.959475,,
1484.105133,3.397894,,
1484.11014,2.75523,,
1484.115099,3.123594,,
1484.120106,2.843374,,
1484.125113,3.192663,,
1484.13012,2.637156,,
1484.135127,2.951581,,
1484.140134,3.418944,,
1484.145141,3.037752,,
1484.1501,3.014729,,
1484.155107,2.946977,,
1484.160114,3.140697,,
1484.165121,2.84173,,
1484.170128,2.590782,,
1484.175135,2.973946,,
1484.180142,3.463345,,
1484.185101,3.010454,,
1484.190108,2.706224,,
1484.195115,2.86245,,
1484.200122,2.721683,,
1484.205129,2.639787,,
1484.210136,2.823312,,
1484.215143,2.592097,,
1484.220102,3.003547,,
1484.225109,2.62104,,
1484.230116,3.127212,,
1484.235123,3.007823,,
1484.24013,3.434731,,
1484.245137,2.935465,,
1484.250144,2.586835,,
1484.255103,3.031832,,
1484.26011,2.601635,,
1484.265117,3.069984,,
1484.270124,2.742732,,
1484.275131,3.074918,,
1484.280138,3.165364,,
1484.285145,2.91902,,
1484.290104,3.04729,,
1484.295111,3.329813,,
1484.300118,2.806538,,
1484.305125,2.920665,,
1484.310132,3.115701,,
1484.315139,2.743719,,
1484.320146,3.045317,,
1484.325105,2.931847,,
1484.330112,3.086758,,
1484.335119,2.826929,,
1484.340126,2.680571,,
1484.345133,2.971644,,
1484.35014,2.823969,,
1484.355147,3.146288,,
1484.360106,2.971973,,
1484.365113,2.897642,,
1484.37012,2.904878,,
1484.375127,2.989404,,
1484.380134,2.918034,,
1484.385141,2.616436,,
1484.390148,2.614462,,
1484.395107,3.055842,,
1484.400114,3.417957,,
1484.405121,3.431113,,
1484.410128,2.84765,,
1484.415135,2.883829,,
1484.420142,3.535374,,
1484.425149,3.189703,,
1484.430108,2.689451,,
1484.435115,2.607227,,
1484.440122,3.066366,,
